iter	Passed	Remaining
0	1	217
1	2	194
2	3	211
3	4	193
4	5	189
5	6	181
6	7	197
7	9	198
8	9	191
9	10	185
10	11	178
11	12	174
12	13	176
13	14	176
14	15	173
15	16	168
16	16	165
17	17	161
18	18	160
19	19	159
20	20	158
21	21	154
22	21	151
23	22	148
24	22	145
25	23	142
26	24	139
27	25	142
28	26	140
29	27	138
30	27	136
31	28	134
32	29	132
33	29	130
34	30	127
35	30	125
36	31	123
37	31	121
38	32	119
39	32	117
40	33	116
41	34	114
42	34	112
43	35	111
44	36	110
45	36	109
46	37	107
47	37	106
48	38	104
49	38	103
50	39	102
51	40	100
52	40	99
53	41	98
54	41	96
55	42	95
56	42	94
57	43	94
58	44	93
59	44	92
60	45	90
61	45	89
62	46	88
63	46	87
64	47	86
65	48	85
66	48	84
67	49	82
68	49	81
69	50	80
70	51	80
71	51	79
72	52	78
73	52	77
74	53	77
75	54	76
76	54	75
77	55	74
78	55	73
79	56	72
80	57	71
81	57	71
82	58	70
83	58	69
84	59	68
85	60	67
86	60	67
87	61	66
88	62	65
89	63	65
90	63	64
91	64	63
92	64	62
93	65	61
94	66	61
95	66	60
96	67	59
97	67	58
98	68	58
99	69	57
100	69	56
101	70	55
102	70	55
103	71	54
104	72	53
105	72	52
106	73	52
107	74	51
108	74	50
109	75	49
110	75	49
111	76	48
112	77	47
113	77	47
114	78	46
115	78	45
116	79	44
117	80	44
118	80	43
119	81	42
120	81	41
121	82	41
122	83	40
123	83	39
124	84	39
125	84	38
126	85	37
127	85	36
128	86	36
129	86	35
130	87	34
131	88	34
132	89	33
133	89	32
134	90	32
135	91	31
136	91	30
137	92	30
138	92	29
139	93	28
140	94	28
141	95	27
142	95	26
143	96	26
144	97	25
145	97	24
146	98	24
147	99	23
148	99	22
149	100	22
150	101	21
151	101	20
152	102	20
153	103	19
154	103	18
155	104	18
156	105	17
157	105	16
158	106	16
159	106	15
160	107	14
161	108	14
162	108	13
163	109	12
164	110	12
165	110	11
166	111	10
167	112	10
168	112	9
169	113	8
170	113	7
171	114	7
172	114	6
173	115	5
174	115	5
175	116	4
176	117	3
177	118	3
178	119	2
179	120	2
180	121	1
181	122	0
182	122	0
